Company,Country,Link,Utility
Askøy Energi,Norway,https://www.askoyenergi.no/,Electricity
Aurland Energiverk,Norway,https://www.aev.no/,Electricity
Bindal Kraftlag,Norway,https://bindalkraftlag.no/,Electricity
Bodø Energi Kraftsalg,Norway,https://bodoenergi.no/,Electricity
Dalane Energisalg,Norway,https://dalane-energi.no/,Electricity
Dragefossen,Norway,https://dragefossen.no/,Electricity
Drangedal Kraft KF,Norway,https://www.drangedalkraft.no/,Electricity
Eidsiva Energi,Norway,https://www.eidsiva.no/,Electricity
Finnås Kraftlag,Norway,https://www.finnas-kraftlag.no/,Electricity
Fitjar Kraftlag,Norway,https://www.fitjar-kraftlag.no/,Electricity
Flesberg Elektrisitetsverk,Norway,http://fe.no/,Electricity
Follo Energi,Norway,https://www.folloenergi.no/,Electricity
FosenKraft Energi,Norway,https://fosenenergi.no/,Electricity
Fredrikstad Energi Marked,Norway,https://fredrikstadenergi.no/,Electricity
Fusa Kraftlag,Norway,https://www.fusa-kraftlag.no/,Electricity
Glitre Energi Strøm,Norway,https://www.glitreenergi.no/strom/en/forside-2020-english/,Electricity
GNP Energy,Norway,https://no.gnp.energy/,Electricity
GUDBRANDSDAL ENERGI,Norway,https://www.ge.no/,Electricity
Hafslund Strøm,Norway,https://www.hafslundstrom.no/,Electricity
Hallingkraft,Norway,https://www.hallingkraft.no/,Electricity
Hålogaland Kraft Kunde,Norway,https://hlk.no/,Electricity
Hammerfest Energi Kraft Omsetning,Norway,https://hammerfestenergi.no/,Electricity
Haugaland Kraft Energi,Norway,https://hkraft.no/,Electricity
HELGELAND KRAFT,Norway,https://www.helgelandkraft.no/,Electricity
Hemsedal Energi,Norway,https://www.hemsedal-energi.no/,Electricity
Hurum Kraft,Norway,https://hurumkraft.no/,Electricity
Høland og Setskog Elverk,Norway,https://hsev.no/,Electricity
Ishavskraft,Norway,https://www.ishavskraft.no/privat/,Electricity
Istad Kraft,Norway,https://www.istadkraft.no/,Electricity
KRAFTRIKET,Norway,https://www.kraftriket.no/,Electricity
Kragerø Kraft,Norway,https://www.kragerokraft.no/,Electricity
Krødsherad Everk KF,Norway,http://www.krodsheradeverk.no/,Electricity
Kvam Kraftverk,Norway,https://www.kvam-kraftverk.no/,Electricity
LOS,Norway,https://www.los.no/,Electricity
Luster Energiverk,Norway,https://www.lusterenergiverk.no/,Electricity
Lyse Energisalg,Norway,https://www.lyse.no/,Electricity
Meløy Energi,Norway,https://meloyenergi.no/,Electricity
Midt Energi,Norway,https://midtenergi.no/,Electricity
Tenergi,Norway,https://tenergi.no/,Electricity
Kraftia,Norway,https://www.kraftia.no/,Electricity
Modalen Kraftlag,Norway,https://www.modalenkraftlag.no/,Electricity
NEAS,Norway,https://www.neas.mr.no/,Electricity
Nesset Kraft,Norway,https://www.nessetkraft.no/,Electricity
Nord-Salten Kraft,Norway,https://nordsaltenkraft.no/forside,Electricity
NordlysEnergi,Norway,https://www.nordlysenergi.com/,Electricity
Nore Energi AS kraft,Norway,https://www.ringerikskraft.no/,Electricity
NorgesEnergi,Norway,https://norgesenergi.no/,Electricity
Notodden Energi Kraft,Norway,https://notodden-energi.no/,Electricity
NTE Marked,Norway,https://nte.no/,Electricity
NØK Kraftlag (Nord-Østerdal Kraftlag SA),Norway,https://www.nok.no/,Electricity
Odda Energi,Norway,https://www.oddaenergi.no/,Electricity
Orkland Energi,Norway,https://orklandenergi.no/,Electricity
Polar Kraft,Norway,https://polarkraft.no/,Electricity
Rakkestad Energi AS Kraft,Norway,https://rakkestadenergi.no/,Electricity
Rauland Kraftforsyningslag,Norway,https://www.rauland-kraft.no/,Electricity
Rauma Energi Kraft,Norway,https://rauma-energi.no/,Electricity
Rollag Elektrisitetsverk,Norway,https://rollagelverk.no/,Electricity
Røros E-verk kraft,Norway,https://renroros.no/,Electricity
Røyken Kraft,Norway,https://www.roykenkraft.no/,Electricity
SFE Kraft,Norway,https://sfe.no/,Electricity
SkandiaEnergi,Norway,https://www.skandiaenergi.no/,Electricity
Skjåk Energi KF,Norway,https://www.sken.no/,Electricity
Smart Energi,Norway,https://www.smartenergi.com/,Electricity
Sodvin Energi og Fiber,Norway,https://www.sodvin.no/privat/,Electricity
Sognekraft,Norway,https://www.sognekraft.no/,Electricity
Stange Energi Marked,Norway,https://www.stangeenerginett.no/om-se-nett/,Electricity
Stranda Energi,Norway,https://strandaenergi.no/,Electricity
Stryn Energi,Norway,https://www.strynenergi.no/,Electricity
Sunndal Energi KF,Norway,https://www.sunndalenergi.no/,Electricity
Sør Aurdal Energi,Norway,http://www.sae.no/,Electricity
Wattn,Norway,https://wattn.no/nb/privat,Electricity
Telinet Energi,Norway,https://www.telinet.no/,Electricity
Tibber,Norway,https://tibber.com/no,Electricity
Tinn Energi,Norway,https://www.tinnenergi.no/,Electricity
TrøndelagKraft,Norway,https://www.trondelagkraft.no/strom/,Electricity
Ustekveikja Energi,Norway,https://ustekveikja.no/,Electricity
Varanger KraftMarked,Norway,https://www.varanger-kraftmarked.no/,Electricity
Vest-Telemark Kraftlag,Norway,https://www.vtk.no/,Electricity
Vesterålskraft Strøm,Norway,https://www.vesteralskraft.no/,Electricity
Voss Energi,Norway,https://www.vossenergi.no/,Electricity
Øvre Eiker Strøm,Norway,https://www.oeenergi.no/,Electricity
Budget Energie,Netherlands,https://www.budgetthuis.nl/energie/,Electricity
Easy Energy,Netherlands,https://www.easyenergy.com/,Electricity
Eneco,Netherlands,https://www.eneco.com/,Electricity
Energiedirect,Netherlands,https://www.energiedirect.nl/,Electricity
Engie,Netherlands,https://www.engie.nl/,Electricity
Essent,Netherlands,https://www.essent.nl/content/particulier/index.html,Electricity
Greenchoice,Netherlands,https://www.greenchoice.nl/,Electricity
HVC Energie,Netherlands,https://www.hvcgroep.n,Electricity
Vattenfall,Netherlands,https://www.vattenfall.nl/,Electricity
Om| Nieuwe Energie,Netherlands,https://www.samenom.nl/,Electricity
Oxxio,Netherlands,https://www.oxxio.nl/,Electricity
Powerpeers,Netherlands,https://www.powerpeers.nl/,Electricity
Pure Energie,Netherlands,https://pure-energie.nl/,Electricity
PSV Energie,Netherlands,https://www.energiedirect.nl/psv,Electricity
Qwint Zakelijk,Netherlands,https://qwint.dvep.nl/,Electricity
Sepa Energie Zakelijk,Netherlands,https://energie-zakelijk.nl/,Electricity
Vandebron,Netherlands,https://vandebron.nl/,Electricity
VanHelder,Netherlands,https://vanhelder.nl/,Electricity
Vrijopnaam,Netherlands,https://www.vrijopnaam.nl/,Electricity
British Gas,UK,https://www.britishgas.co.uk/,Electricity
Scottish Power,UK,https://www.scottishpower.co.uk/,Electricity
E.ON,UK,https://www.eonenergy.com/,Electricity
EDF Energy,UK,https://www.edfenergy.com/,Electricity
Shell Energy,UK,https://www.shellenergy.co.uk/,Electricity
Octopus Energy,UK,https://octopus.energy/,Electricity
Bulb Energy,UK,https://bulb.co.uk/,Electricity
Bord Gáis Energy,Ireland,https://www.bordgaisenergy.ie/,Electricity
Electric Ireland,Ireland,https://www.electricireland.ie/,Electricity
Energia,Ireland,https://www.energia.ie/home,Electricity
Flogas,Ireland,https://www.flogas.ie/,Electricity
Iberdrola,Ireland,https://www.iberdrola.com/,Electricity
Panda Power,Ireland,https://my.pandapower.ie/,Electricity
Pinergy,Ireland,https://pinergy.ie/,Electricity
PrePayPower,Ireland,https://www.prepaypower.ie/,Electricity
SSE Airtricity,Ireland,https://www.sseairtricity.com/ie/home/,Electricity
Ecopower,Ireland,https://ecopower.ie/,Electricity
EWZ,Switzerland,https://www.ewz.ch/de/private.html,Electricity
EKZ,Switzerland,https://www.ekz.ch/de/privatkunden.html,Electricity
SIG,Switzerland,https://ww2.sig-ge.ch/particuliers,Electricity
EWB,Switzerland,https://www.ewb.ch/,Electricity
IWB,Switzerland,https://www.iwb.ch/Fuer-Zuhause.html,Electricity
Romande Energie,Switzerland,https://www.romande-energie.ch/,Electricity
SODO,Slovenia,https://www.sodo.si/,Electricity
Elektro Celje,Slovenia,https://www.elektro-celje.si/,Electricity
Elektro Gorenjska,Slovenia,https://www.elektro-gorenjska.si/,Electricity
Elektro Ljubljana,Slovenia,https://www.elektro-ljubljana.si/,Electricity
Elektro Maribor,Slovenia,https://www.elektro-maribor.si/,Electricity
Elektro Primorska,Slovenia,https://elektro-primorska.si/,Electricity
Enel Energie,Romania,https://www.enel.ro/enel-energie/ro.html,Electricity
E.On,Romania,https://www.eon.ro/,Electricity
Enel Energie Muntenia,Romania,https://www.enel.ro/enel-muntenia/en.html,Electricity
Electrica,Romania,https://myelectrica.ro/index.php,Electricity
Ostrom,Germany,https://www.ostrom.de/?lang=en,Electricity
NaturStrom,Germany,https://www.naturstrom.de/,Electricity
Yello,Germany,https://www.yello.de/,Electricity
Entega,Germany,https://www.entega.de/,Electricity
Badenova,Germany,https://www.badenova.de/,Electricity
EDF,France,https://www.edf.fr/,Electricity
Engie,France,https://www.engie.fr/,Electricity
Alterna,France,https://www.alterna-energie.fr/,Electricity
Cdiscount Energie,France,https://www.cdiscount.com/cdiscountenergie,Electricity
Total Direct Energie,France,https://www.totalenergies.fr/,Electricity
Planète Oui,France,https://www.planete-oui.fr/particuliers,Electricity
Alexela,Estonia,https://www.alexela.ee/en/elekter,Electricity
Axpo Nordic,Estonia,https://www.axpo.com/dk/en/about-us.html,Electricity
Eesti Energia,Estonia,https://www.energia.ee/et/avaleht,Electricity
Elektrum Eesti,Estonia,https://www.elektrum.ee/ee/eraklient,Electricity
Gren,Estonia,https://gren.com/ee/,Electricity
INTER RAO Eesti,Estonia,https://interrao.ee/,Electricity
Nordic Power Management,Estonia,https://nordicpm.eu/,Electricity
EDP,Portugal,https://www.edp.com/en,Electricity
Gold Energy,Portugal,https://goldenergy.pt/,Electricity
Simples Energy,Portugal,https://www.simpleenergy.in/,Electricity
LUZiGAS,Portugal,https://www.luzigas.pt/en/,Electricity
Enovos,Luxembourg,https://www.enovos.lu/en/individuals/electricity,Electricity
Eida,Luxembourg,https://www.eida.lu/fr/,Electricity
Electris,Luxembourg,https://electris.lu/fr/62/accueil/,Electricity
Sudgaz,Luxembourg,https://electricite.lu/fournisseurs/sudgaz,Electricity
Modstrøm,Denmark,https://www.modstroem.dk/,Electricity
Power4U,Denmark,https://www.power4u.dk/,Electricity
Den Glade Eltavle,Denmark,https://www.dengladeeltavle.dk/,Electricity
Lokal-energi,Denmark,https://lokal-energi.dk/,Electricity
Vindstød,Denmark,https://www.vindstoed.dk/,Electricity
OK,Denmark,https://www.ok.dk/privat/produkter/el,Electricity
Forsyning Helsingor,Denmark,https://www.fh.dk/,Electricity
Verdo,Denmark,https://www.verdo.com/int/,Electricity
Netto Power,Denmark,https://www.nettopower.dk/,Electricity
Grow Energy,Denmark,https://growenergy.dk/,Electricity
Jysk Energi,Denmark,https://jyskenergi.dk/,Electricity
Energifyn,Denmark,https://www.energifyn.dk/privat/,Electricity
Radius,Denmark,https://radiuselnet.dk/,Electricity
easy green energy,Austria,easygreenenergy.at,Gas
Energie Ried,Austria,www.energie-ried.at,Gas
Energie Steiermark Kunden,Austria,www.e-steiermark.com,Gas
envitra Energiehandel,Austria,www.envitra.at,Gas
E WIE EINFACH,Austria,www.e-wie-einfach.at,Gas
eww,Austria,www.eww.at,Gas
fulminant,Austria,www.fulminant-energie.at,Gas
gasdiskont.at,Austria,www.gasdiskont.at,Gas
GASTINO,Austria,www.gastino.at,Gas
goldgas,Austria,www.goldgas.at,Gas
Grünwelt Energie,Austria,www.gruenwelt.at,Gas
Gutmann,Austria,www.gutmann-gas.at,Gas
Kelag,Austria,www.kelag.at,Gas
Leu Energie Austria,Austria,www.leu-energie.at,Gas
Lidl-Energie,Austria,www.lidl-energie.at,Gas
Maingau Energie,Austria,www.maingau-energie.at,Gas
Maxenergy Austria Handels,Austria,www.maxenergy.at,Gas
Montana Energie-Handel,Austria,www.montana-energie.at,Gas
McGas,Austria,www.mc-gas.at,Gas
Ökostrom,Austria,oekostrom.at,Gas
redgas,Austria,www.redgas.at,Gas
Billig?Will ich!,Austria,www.billig-will-ich.at,Gas
Sturm Energie,Austria,www.sturmenergie.at,Gas
switch Energievertriebsgesellschaft,Austria,www.switch.at,Gas
TIGAS Erdgas Tirol,Austria,www.tigas.at,Gas
Topenergy,Austria,www.topenergy.at,Gas
Turmgas,Austria,turmgas.at,Gas
Unsere Wasserkraft,Austria,www.easygreenenergy.at,Gas
Verbund,Austria,www.verbund.at,Gas
Engie Electrabel,Belgium,https://www.engie.be/nl/,Gas
Total Energies,Belgium,https://totalenergies.be/,Gas
Luminus,Belgium,https://www.luminus.be/nl/prive/,Gas
Mega,Belgium,https://www.mega.be/fr/,Gas
Octa+,Belgium,https://www.octaplus.be/nl,Gas
Eneco,Belgium,https://eneco.be/nl,Gas
Antargaz,Belgium,https://www.antargaz.be/en,Gas
Synergas,Cyprus,http://www.synergas.com.cy/index.php?pageid=1,Gas
Intergaz,Cyprus,https://intergaz.com.cy/,Gas
PPD ,Croatia,https://www.ppd.hr/,Gas
GPZ,Croatia,https://www.gpz-opskrba.hr/,Gas
HEP,Croatia,https://www.hep.hr/plin/,Gas
MET,Croatia,https://hr.met.com/,Gas
Termoplin,Croatia,http://www.termoplin.com/,Gas
ERU,Czech Republic,https://www.eru.cz/en/plyn,Gas
ALPIQ ENERGY,Czech Republic,https://www.alpiq.cz/,Gas
Innology,Czech Republic,https://www.innogy.cz/,Gas
SKUPINA ČEZ,Czech Republic,https://www.cez.cz/,Gas
SUDenergie,Luxembourg,http://www.sudenergie.lu/,Gas
LEO,Luxembourg,https://www.leoenergy.lu/fr/particuliers/accueil,Gas
Enovos Luxembourg,Luxembourg,https://www.enovos.lu/en/individuals/home,Gas
Electris,Luxembourg,https://electris.lu/,Gas
Geoplin,Slovenia,https://www.geoplin.si/sl,Gas
Istrabez,Slovenia,http://www.istrabenz.si/slo/,Gas
Pertol Group,Slovenia,https://www.petrol.si/,Gas
Latvijas gaze,Latvia,https://lg.lv/,Gas
AS Eesti Gaas,Estonia,https://www.gaas.ee/,Gas
Gasum Oy ,Finland,https://www.gasum.com/en,Gas
Swedegas,Sweden,https://www.swedegas.com/,Gas
Polska Spolka Gazownictwa,Poland,https://www.psgaz.pl/en,Gas
Equinor,Norway,https://www.equinor.com/,Gas
Gassco,Norway,https://www.gassco.no/en/,Gas
Gassnova,Norway,https://gassnova.no/en/,Gas
Questerre Energy,Norway,https://www.questerre.com/,Gas
Italgas,Italy,https://www.italgas.it/en/,Gas
2i Rete Gas,Italy,https://www.2iretegas.it/,Gas
Hera,Italy,https://eng.gruppohera.it/group_eng,Gas
Ascoiave,Italy,https://www.gruppoascopiave.it/en/,Gas
Estra,Italy,https://www.estra.it/,Gas
Ascm-Agam,Italy,https://www.acsm-agam.it/,Gas
Agsm Verona,Italy,https://www.agsm.it/,Gas
Nedgia,Spain,https://www.nedgia.es/,Gas
Redexis,Spain,https://www.redexis.es/en/home,Gas
Nortegas,Spain,https://www.nortegas.es/en/,Gas
Madrileña Red de Gas,Spain,https://madrilena.es/,Gas
Gas Extremadura,Spain,https://www.dcgasextremadura.es/,Gas
Galp,Portugal,https://www.galp.com/corp/pt/,Gas
Ren,Portugal,https://www.ren.pt/,Gas
SPP,Slovakia,https://www.spp.sk/sk/,Gas
PetroSA,South Africa,petrosa.co.za,Gas
Sasol,South Africa,https://www.sasol.com/,Gas
Air Liquide,South Africa,https://industry.airliquide.co.za/,Gas
SSE,UK,https://sse.co.uk/home,Gas
Gazprom,Greece,gazprom.com,Gas
Sonatrach,Greece,https://www.sonatrach.co.uk/,Gas
BOTAS,Greece,http://www.botas-ahk.gov.tr/en.aspx,Gas
Liquigas,Malta,https://liquigasmalta.com/,Gas
VNG,Germany,https://www.vng.de/VNG-Internet/en/index.html,Gas
Wingas,Germany,https://www.wingas.com/,Gas
Wintershalldea,Germany,https://wintershalldea.com/en,Gas
Gazprom-Germania,Germany,https://www.gazprom-germania.de/home.html,Gas
CDiscount,France,cdiscount.com,Gas
OMV Petrom,Romania,https://www.omvpetrom.com/en,Gas
Romgaz,Romania,https://www.romgaz.ro/,Gas
Amromco,Romania,http://www.amromco.com/,Gas
Energijos skirstymo operatorius,Lithuania,https://www.eso.lt/lt/namams.html,Gas
Intergas,Lithuania,https://www.intergas.lt/,Gas
INGL,Israel,https://www.ingl.co.il/,Gas
Supergas Energy,Israel,https://supergasenergy.co.il/,Gas
Pazgas,Israel,https://www.pazgas.co.il/en/,Gas
Amerigas,Israel,https://www.amisragas.co.il/,Gas
Doralongas,Israel,https://www.doralongas.co.il/,Gas
Supergas Energy,Israel,https://www.supergas.co.il/,Gas
Energie Beheer Nederland,Netherlands,https://www.ebn.nl/,Gas
GasTerra,Netherlands,https://www.gasterra.nl/en,Gas
Gasunie,Netherlands,https://www.gasunie.nl/en,Gas
Bulgargaz,Bulgaria,https://www.bulgargaz.bg/,Gas
Overgas,Bulgaria,http://www.overgas.bg/,Gas
Axpo,Bulgaria,https://www.axpo.com,Gas
Citygas,Bulgaria,www.citygas.bg,Gas
Arsegas,Bulgaria,https://www.aresgas.bg/,Gas
Cryogas,Poland,https://www.cryogas.pl/en,Gas
CEZ,Bulgaria,https://cez.bg/bg/,Electricity
EVN,Bulgaria,https://www.evn.bg/,Electricity
OK,Denmark,https://www.ok.dk/,Gas
SEF Energi ,Denmark,https://www.sef.dk/,Gas
Norlys Energi,Denmark,https://norlys.dk/,Gas
DCC Energi,Denmark,https://www.dccenergi.dk/,Gas
Gasel,Denmark,https://www.gasel.dk/,Gas
FRI Energy ,Denmark,https://fri-energy.dk/,Gas
SK Energi,Denmark,https://www.skenergi.dk/,Gas
SEAS-NVE Strømmen ,Denmark,https://seas-nve.dk/,Gas
Ørsted Salg & Service ,Denmark,https://orsted.dk/erhverv,Gas
Velkommen,Denmark,https://velkommen.dk/,Gas
Sofiyska Voda,Bulgaria,https://www.sofiyskavoda.bg/en/,Water
ViK Burgas,Bulgaria,https://www.vik-burgas.com/,Water
ViK Varna,Bulgaria,https://vikvarna.com/,Water
ViK Plovdiv,Bulgaria,https://www.vik.bg/,Water
ViK Yambol,Bulgaria,https://www.vik-yambol.com/,Water
Evides,Netherlands,https://www.evides.nl/,Water
Dunea,Netherlands,https://www.dunea.nl/,Water
Oasen,Netherlands,https://www.oasen.nl/,Water
Vitens,Netherlands,https://www.vitens.nl/,Water
WMD,Netherlands,https://wmd.nl/,Water
WBG,Netherlands,https://waterbedrijfgroningen.nl/,Water
Waternet,Netherlands,https://www.waternet.nl/,Water
PWN,Netherlands,https://www.pwn.nl/,Water
WML,Netherlands,https://www.wml.nl/,Water
Brabant Water,Netherlands,https://www.brabantwater.nl/,Water
Vivaqua,Belgium,https://www.vivaqua.be/en/,Water
VMW,Belgium,https://en.vmm.be/water,Water
Aquifers,Iceland,https://www.government.is/,Water
Mekorot,Israel,https://www.mekorot-int.com/,Water
VIO,Croatia,https://www.vio.hr/en,Water
GWSS,Cyprus,www.moa.gov.cy,Water
Service des Eaux,Luxembourg,https://www.vdl.lu/,Water
WSC,Malta,https://www.wsc.com.mt/,Water
EPAL,Portugal,https://www.epal.pt/,Water
Veolia,France,https://www.veolia.fr/,Water
Suez,France,https://www.suez.com/en/who-we-are,Water
RheinEnergie,Germany,https://www.rheinenergie.com/de/,Water
Stadtwerke Düsseldorf,Germany,https://www.swd-ag.de/,Water
Stadtwerke München,Germany,https://www.swm.de/english,Water
Uisce Éireann,Ireland,https://www.water.ie/,Water
Affinity Water,UK,https://www.affinitywater.co.uk/,Water
Albion Water,UK,https://www.albionwater.co.uk/,Water
Bristol Water,UK,https://www.bristolwater.co.uk/,Water
Cambridge Water Company,UK,https://www.cambridge-water.co.uk/,Water
Cholderton and District Water Company,UK,https://www.choldertonwater.co.uk/,Water
Essex and Suffolk Water,UK,https://www.eswater.co.uk/,Water
Hartlepool Water,UK,https://www.anglianwater.co.uk/,Water
Portsmouth Water,UK,https://www.portsmouthwater.co.uk/,Water
South East Water,UK,https://www.southeastwater.co.uk/,Water
South Staffordshire Water,UK,https://www.south-staffs-water.co.uk/,Water
Sutton and East Surrey Water,UK,https://seswater.co.uk/,Water
Youlgrave Waterworks,UK,https://www.youlgrave.org.uk/youlgrave-waterworks-ltd/,Water
Svenskt Vatten,Sweden,https://www.svensktvatten.se/,Water
Norsk Vann,Norway,https://norskvann.no/,Water
Kalundborg Forsyning,Denmark,https://kalfor.dk/,Water
Lemvig Vand og Spildevand,Denmark,https://lvs-as.dk/,Water
NOVAFOS,Denmark,https://novafos.dk/,Water
Vandcenter Syd,Denmark,https://www.vandcenter.dk/,Water
Aarhus Vand,Denmark,https://www.aarhusvand.dk/,Water
JP Voka Snaga,Slovenia,https://www.vokasnaga.si/,Water
Agbar,Spain,https://www.agbar.es/,Water
Canal Isabel II ,Spain,https://www.canaldeisabelsegunda.es/en/quienes-somos,Water
Rigas Udens ,Latvia,https://www.rigasudens.lv/,Water
Daugavpils Udens,Latvia,http://www.daugavpils.udens.lv/,Water
